model,lambda,arrived,dropped,served,instant_nsys,instant_nq,total_nsys,total_nq,total_wait,total_sojourn,avg_nsys,avg_nq,avg_wait,avg_sojourn,drop_prob
M/M/3/8,4.0,112,0,112,0,0,14.668182056654448,0.007825389268490746,0.01565077853698149,14.668182056654448,0.4889394018884816,0.00026084630894969153,0.00013973909408019188,0.130965911220129,0.0
M/M/3/8,4.0,133,0,133,0,0,18.554709870516756,0.26198764513971007,0.5239752902794201,18.554709870516756,0.6184903290172252,0.008732921504657003,0.003939663836687369,0.13950909677080267,0.0
M/M/3/8,4.0,123,0,122,1,0,12.920545667440473,0.0,0.0,12.920545667440475,0.4306848555813491,0.0,0.0,0.10590611202820062,0.0
M/M/3/8,4.0,119,0,119,0,0,16.058959827088152,0.06347102214125311,0.12694204428250622,16.058959827088152,0.5352986609029384,0.0021157007380417704,0.0010667398679202202,0.13494924224443824,0.0
M/M/3/8,4.0,112,0,112,0,0,12.572863368569436,0.02430529630083811,0.04861059260167622,12.572863368569436,0.4190954456189812,0.0008101765433612703,0.0004340231482292519,0.11225770864794139,0.0
M/M/3/8,4.0,122,0,121,1,0,17.088295161079433,0.7718793759293039,1.5437587518586078,17.076182659528616,0.5696098387026478,0.025729312530976798,0.0127583367922199,0.14112547652502988,0.0
M/M/3/8,4.0,117,0,117,0,0,15.104546052385382,0.166383081947302,0.332766163894604,15.104546052385382,0.5034848684128461,0.005546102731576733,0.002844155246962427,0.12909868420842208,0.0
M/M/3/8,4.0,133,0,131,2,0,16.783375488100134,0.11266591585809671,0.22533183171619342,16.723102363601093,0.5594458496033378,0.0037555305286032237,0.0017200903184442246,0.1276572699511534,0.0
M/M/3/8,4.0,125,0,125,0,0,15.019220134626526,0.005736984299911541,0.011473968599823081,15.019220134626526,0.5006406711542175,0.00019123280999705134,9.179174879858465e-05,0.1201537610770122,0.0
M/M/3/8,4.0,91,0,90,1,0,12.41188839707243,0.0,0.0,12.41188839707243,0.41372961323574764,0.0,0.0,0.13790987107858255,0.0
M/M/3/8,4.0,119,0,118,1,0,17.101099043725235,0.8133068419167122,1.6266136838334244,16.988171311010685,0.5700366347908411,0.027110228063890407,0.013784861727401902,0.14396755348314139,0.0
M/M/3/8,4.0,127,0,127,0,0,14.95798877204542,0.009470979288192183,0.018941958576384366,14.95798877204542,0.49859962573484734,0.0003156993096064061,0.00014914928012901076,0.11777943914996393,0.0
M/M/3/8,4.0,104,0,104,0,0,11.182868975925981,0.0,0.0,11.182868975925981,0.3727622991975327,0.0,0.0,0.10752758630698059,0.0
M/M/3/8,4.0,114,0,114,0,0,15.381649153304853,0.0,0.0,15.381649153304853,0.512721638443495,0.0,0.0,0.1349267469588145,0.0
M/M/3/8,4.0,119,0,119,0,0,13.829152219004264,0.010950687812846027,0.021901375625692054,13.829152219004264,0.46097174063347546,0.00036502292709486757,0.0001840451733251433,0.11621136318490978,0.0
M/M/3/8,4.0,126,0,125,1,0,14.815772992508798,0.0,0.0,14.741075104415447,0.49385909975029324,0.0,0.0,0.11792860083532358,0.0
M/M/3/8,4.0,108,0,107,1,0,11.46985458146467,0.0,0.0,11.320290550668538,0.38232848604882236,0.0,0.0,0.10579710795017326,0.0
M/M/3/8,4.0,130,0,130,0,0,18.17893710619161,0.07877672074717879,0.15755344149435757,18.17893710619161,0.605964570206387,0.002625890691572626,0.0012119495499565967,0.13983797773993548,0.0
M/M/3/8,4.0,125,0,125,0,0,16.693679488801695,0.0,0.0,16.693679488801695,0.5564559829600565,0.0,0.0,0.13354943591041357,0.0
M/M/3/8,4.0,132,0,132,0,0,17.827597790317885,0.6908831566930154,1.3817663133860307,17.827597790317885,0.5942532596772628,0.023029438556433846,0.01046792661656084,0.13505755901755973,0.0
M/M/3/8,4.0,115,0,115,0,0,15.97775425568391,0.3707346579264641,0.7414693158529282,15.97775425568391,0.532591808522797,0.012357821930882137,0.006447559268286332,0.13893699352768618,0.0
M/M/3/8,4.0,121,0,121,0,0,12.828843998807852,0.060999151108769745,0.12199830221753949,12.828843998807852,0.42762813329359506,0.0020333050369589914,0.0010082504315499132,0.10602350412237894,0.0
M/M/3/8,4.0,120,0,120,0,0,14.452717638701298,0.0747359382054329,0.1494718764108658,14.452717638701298,0.4817572546233766,0.0024911979401810963,0.0012455989700905481,0.12043931365584415,0.0
M/M/3/8,4.0,98,0,97,1,0,11.873397052449171,0.0,0.0,11.819561703862636,0.3957799017483057,0.0,0.0,0.12185115158621274,0.0
M/M/3/8,4.0,111,0,110,1,0,14.002471922416202,0.02487961820403406,0.04975923640806812,14.002471922416202,0.46674906408054007,0.0008293206068011353,0.00045235669461880107,0.12729519929469274,0.0
M/M/3/8,4.0,113,0,113,0,0,13.519854902309614,0.0754287771709814,0.1508575543419628,13.519854902309614,0.4506618300769871,0.0025142925723660465,0.0013350226047961309,0.11964473364875765,0.0
M/M/3/8,4.0,107,0,107,0,0,12.308653070803004,0.0,0.0,12.308653070803004,0.4102884356934335,0.0,0.0,0.1150341408486262,0.0
M/M/3/8,4.0,127,0,127,0,0,17.352826457689698,0.2579499985424505,0.515899997084901,17.352826457689698,0.5784275485896566,0.00859833328474835,0.004062204701455913,0.13663642880070628,0.0
M/M/3/8,4.0,119,0,117,2,0,15.591279455866374,0.15039303810021654,0.3007860762004331,15.562131821184613,0.5197093151955458,0.005013101270007218,0.0025708211641062655,0.13300967368533856,0.0
M/M/3/8,4.0,119,0,119,0,0,12.805069169772958,0.0,0.0,12.805069169772958,0.42683563899243193,0.0,0.0,0.107605623275403,0.0
M/M/3/8,4.0,111,0,111,0,0,12.960759293798274,0.07980587939672379,0.15961175879344758,12.960759293798274,0.4320253097932758,0.002660195979890793,0.0014379437729139422,0.11676359724142589,0.0
M/M/3/8,4.0,122,0,120,2,0,13.638291807791521,0.11371288275874125,0.2274257655174825,12.8058067740761,0.4546097269263841,0.003790429425291375,0.0018952147126456876,0.10671505645063416,0.0
M/M/3/8,4.0,114,0,114,0,0,15.807315686905886,0.0,0.0,15.807315686905886,0.5269105228968629,0.0,0.0,0.13866066392022708,0.0
M/M/3/8,4.0,116,0,116,0,0,14.658438785650105,0.052497400084270396,0.10499480016854079,14.658438785650105,0.48861462618833684,0.0017499133361423465,0.0009051275876598345,0.12636585160043196,0.0
M/M/3/8,4.0,118,0,118,0,0,13.706070912019765,0.04569989949109399,0.09139979898218797,13.706070912019765,0.45686903040065885,0.0015233299830364662,0.0007745745676456608,0.1161531433222014,0.0
M/M/3/8,4.0,104,0,104,0,0,13.59665343813488,0.10996331518382618,0.21992663036765236,13.59665343813488,0.45322178127116264,0.0036654438394608728,0.0021146791381505036,0.13073705228975846,0.0
M/M/3/8,4.0,124,0,123,1,0,15.825840161096378,0.0,0.0,15.82584016109638,0.5275280053698793,0.0,0.0,0.1286653671633852,0.0
M/M/3/8,4.0,108,0,107,1,0,12.689793548566584,0.08584833576205941,0.17169667152411883,12.689793548566584,0.4229931182855528,0.002861611192068647,0.0016046417899450358,0.11859620138847275,0.0
M/M/3/8,4.0,107,0,107,0,0,14.678241176191406,0.20742410188379878,0.41484820376759757,14.678241176191406,0.4892747058730469,0.00691413672945996,0.0038770860165196035,0.13717982407655518,0.0
M/M/3/8,4.0,118,0,118,0,0,15.980589387314643,0.0,0.0,15.980589387314645,0.5326863129104881,0.0,0.0,0.13542872362131056,0.0
M/M/3/8,4.0,105,0,105,0,0,14.76893330388416,0.3661745914489245,0.732349182897849,14.76893330388416,0.4922977767961386,0.01220581971496415,0.006974754122836657,0.14065650765603963,0.0
M/M/3/8,4.0,96,0,96,0,0,11.15563831869893,0.0,0.0,11.15563831869893,0.37185461062329767,0.0,0.0,0.11620456581978052,0.0
M/M/3/8,4.0,114,0,112,2,0,15.46944536529849,0.09857396021137177,0.19714792042274354,15.396555651499764,0.5156481788432831,0.0032857986737123922,0.0017602492894887817,0.13746924688839074,0.0
M/M/3/8,4.0,121,0,121,0,0,15.725307484305791,0.046421640998488556,0.09284328199697711,15.725307484305791,0.5241769161435264,0.001547388033282952,0.0007672998512146869,0.12996121887856027,0.0
M/M/3/8,4.0,124,0,123,1,0,16.69077799140022,0.051553144043358756,0.10310628808671751,16.631689943972997,0.5563592663800073,0.0017184381347786252,0.000838262504770061,0.13521699141441462,0.0
M/M/3/8,4.0,125,0,124,1,0,14.578690779186827,0.05329539608775047,0.10659079217550094,14.578690779186827,0.48595635930622755,0.0017765132029250155,0.0008596031627056527,0.11757008692892602,0.0
M/M/3/8,4.0,110,0,109,1,0,13.065797795100947,0.0,0.0,13.065797795100947,0.43552659317003156,0.0,0.0,0.11986970454221052,0.0
